baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
0.025185967,-0.060956434,3.362944454,-0.018125911,0.985538407,0.999962279,CAMK1G
1892.237899,0.015591112,0.098142412,0.158862122,0.873777504,0.999962279,CDK11A
12104.83907,0.039854916,0.083779009,0.475714816,0.634277564,0.999962279,NADK
0.016461609,-0.076056219,3.362944454,-0.02261596,0.981956612,0.999962279,TFAP2B
0.016530277,0.056811561,3.362944454,0.016893399,0.986521659,0.999962279,TFAP2D
200.2447073,-0.027553365,0.073352467,-0.3756297,0.707192208,0.999962279,DLEC1
270.5862824,0.117241101,0.068811167,1.703809211,0.088416737,0.999962279,CYTH3
119.1129942,0.00276239,0.084883083,0.032543464,0.974038655,0.999962279,ADAM22
446.5907188,0.062375173,0.090042735,0.692728551,0.488479918,0.999962279,SYPL1
593.8448066,-0.014284116,0.08766415,-0.162941362,0.870564604,0.999962279,CYB561
3425.867173,0.037574421,0.075321545,0.498853553,0.617882557,0.999962279,SPAG9
113.1302314,0.070408454,0.095617863,0.736352517,0.461516193,0.999962279,CELSR3
133.1909313,0.12029138,0.129257512,0.930633572,0.352043142,0.999962279,AASS
20.00656846,0.060247274,0.174762978,0.344737051,0.730292061,0.999962279,PLEKHG6
205.1424309,-0.035196583,0.045825795,-0.76805178,0.442456423,0.999962279,SS18L2
177.8159515,-0.089470785,0.058819369,-1.521110925,0.128232003,0.999962279,MPND
183.5476938,-0.133639841,0.105266445,-1.269538845,0.204248945,0.999962279,MGST1
300.7706278,0.045224192,0.043372617,1.042689961,0.297091909,0.999962279,CRY1
317.4464905,-0.209188578,0.187603272,-1.115058259,0.264825457,0.999962279,PGLYRP1
109.2672271,-0.055752791,0.067526035,-0.825648813,0.409003337,0.999962279,NFIX
2715.357892,-0.056859703,0.03589788,-1.583929263,0.113209817,0.999962279,ST3GAL1
18505.28378,0.019749663,0.121985524,0.161901691,0.871383271,0.999962279,MMP25
3363.465006,0.106073414,0.084651143,1.253065345,0.210181927,0.999962279,IL32
1684.606478,0.02245374,0.055470749,0.40478524,0.685635379,0.999962279,PKD1
11.13932549,0.204244817,0.127699519,1.599417284,0.109727914,0.999962279,MAPK8IP2
671.128667,-0.01633094,0.039979437,-0.408483496,0.682918745,0.999962279,MED24
240.4002038,0.134827831,0.057189172,2.357576226,0.018394678,0.999962279,RHOBTB2
1402.533985,-0.028630381,0.049192175,-0.582010877,0.560559354,0.999962279,HEATR5B
1472.943075,0.066484296,0.069487309,0.95678329,0.338676648,0.999962279,SEC62
7075.118783,-0.091738071,0.052474589,-1.748238026,0.08042282,0.999962279,RPS20
8419.398924,0.00702698,0.033645697,0.208852267,0.834563568,0.999962279,CSDE1
1184.941618,-0.012721385,0.026753455,-0.47550439,0.634427505,0.999962279,UBE3C
976.2243624,-0.005148419,0.058784043,-0.087581907,0.930208983,0.999962279,REV3L
291.7436839,0.092023167,0.143017988,0.643437717,0.519940116,0.999962279,TENM1
0,NA,NA,NA,NA,NA,PAX7
207.2509499,-0.097513977,0.063017619,-1.547408147,0.121764858,0.999962279,MASP2
0,NA,NA,NA,NA,NA,IYD
231.8286165,-0.020356175,0.036287302,-0.560972407,0.574816348,0.999962279,FAM76A
5967.78969,0.020637323,0.038743004,0.532672244,0.594260483,0.999962279,TRAF3IP3
164.7060829,0.096951626,0.054623447,1.774908609,0.075912979,0.999962279,POMT2
624.2021512,-0.00587883,0.045159661,-0.130178781,0.896424982,0.999962279,VTA1
0.74640839,0.908368929,0.470341427,1.931296876,0.05344635,0.999962279,MLXIPL
1606.574982,0.034550102,0.036410143,0.948914207,0.342664248,0.999962279,BAZ1B
860.3073287,-0.033174381,0.028701622,-1.155836451,0.24774806,0.999962279,RANBP9
188.6851843,-0.140796942,0.253672436,-0.555034455,0.578871094,0.999962279,ETV7
266.7331945,0.03192011,0.054571293,0.584924939,0.558598189,0.999962279,SPRTN
433.7022352,0.070971184,0.041351353,1.716296548,0.08610778,0.999962279,METTL13
110.4624487,0.015083369,0.057831426,0.260816139,0.794234298,0.999962279,DYRK4
4798.787479,-0.029213126,0.039385404,-0.741724667,0.458254171,0.999962279,ZNF207
1055.902977,-0.06228157,0.05038534,-1.23610499,0.21641954,0.999962279,UQCRC1
593.0580171,0.028556214,0.044330734,0.644162883,0.519469817,0.999962279,STARD3NL
351.2102826,0.06332522,0.159696314,0.396535266,0.691710197,0.999962279,CD9
1.890738391,0.780576922,0.303168182,2.574732335,0.010031769,0.999962279,HHATL
1112.496493,-0.084948285,0.042413951,-2.002838289,0.045194649,0.999962279,NCAPD2
1596.778864,-0.023775322,0.064122028,-0.370782447,0.710799576,0.999962279,IFFO1
135.6324587,0.055912061,0.098475174,0.567778244,0.570185554,0.999962279,GIPR
77.58262231,-0.037564905,0.049765979,-0.75483101,0.450350385,0.999962279,PHF7
19.42224599,0.175501277,0.157071337,1.117334841,0.263851184,0.999962279,SEMA3G
2702.321724,0.024241521,0.0364821,0.664477139,0.506384976,0.999962279,NISCH
2795.664826,-0.001917312,0.118766949,-0.01614348,0.987119926,0.999962279,STAB1
249.1469305,-0.030309418,0.089021003,-0.340474906,0.733498917,0.999962279,FUZ
5.407797512,-0.121160779,0.16536424,-0.732690328,0.463747324,0.999962279,SLC6A13
11098.82942,-0.008985523,0.075193292,-0.119498992,0.904880038,0.999962279,IDS
1.616432505,-0.260934856,0.356671635,-0.731582862,0.464423212,0.999962279,PRSS3
774.368808,0.143759721,0.0808546,1.778003002,0.075403362,0.999962279,ZNF200
3835.649914,-0.077148036,0.059097616,-1.305433982,0.191745114,0.999962279,CD4
51.29348561,-0.03109045,0.080914716,-0.384237274,0.700802594,0.999962279,LRRC23
1946.039815,-0.028316209,0.05741104,-0.493218879,0.62185794,0.999962279,BTK
173.6629898,-0.014773302,0.056613299,-0.260951087,0.794130227,0.999962279,HFE
192.5012892,0.035899586,0.051605524,0.695653935,0.48664558,0.999962279,SCMH1
3722.668069,-0.071879982,0.042665805,-1.684721113,0.092042391,0.999962279,FYN
2280.705492,0.063353148,0.088237961,0.717980641,0.472769224,0.999962279,HIVEP2
0.663806413,0.650550421,0.595863863,1.091776934,0.27493116,0.999962279,FMO1
658.9609475,-0.041821536,0.041997049,-0.995820822,0.319337211,0.999962279,ELOA
989.934758,-0.018726732,0.050194381,-0.373084235,0.709085752,0.999962279,LYPLA2
637.763302,0.011854945,0.055475901,0.213695404,0.830784596,0.999962279,CLCN6
33.98629967,-0.119601244,0.137642513,-0.868926621,0.384887268,0.999962279,MRC2
7.203403294,-0.206557262,0.400515695,-0.51572826,0.606044214,0.999962279,NME1-NME2
0.095732363,-0.074537267,1.583561966,-0.047069372,0.962457938,0.999962279,SLC6A7
69.87650553,-0.186940205,0.136548168,-1.369042202,0.170986083,0.999962279,TSPAN9
701.4846999,0.025346891,0.052488269,0.482905825,0.629162606,0.999962279,BTBD7
645.0053473,0.068581477,0.055338955,1.239298373,0.215235021,0.999962279,APBA3
144.3406269,-0.014087507,0.049987196,-0.281822309,0.778079764,0.999962279,MKS1
2371.614152,-0.051652388,0.113191665,-0.456326778,0.648155011,0.999962279,ABHD5
3.722550394,0.048532092,0.30719009,0.157987166,0.874466912,0.999962279,ANOS1
2085.571643,0.002723207,0.049508247,0.055005128,0.956134378,0.999962279,AKAP8L
782.1167432,0.025460098,0.035998484,0.707254747,0.479408182,0.999962279,MBTD1
401.0627433,0.019015205,0.033904328,0.560848906,0.574900544,0.999962279,UTP18
1873.444345,-0.017624346,0.031381818,-0.5616101,0.574381698,0.999962279,RNF216
447.3286766,-0.017077071,0.036200655,-0.471733752,0.637116842,0.999962279,TTC19
3261.162016,0.010143689,0.026459699,0.383363723,0.701450097,0.999962279,PTBP1
0.869427333,0.672107816,0.46441856,1.447202746,0.147840148,0.999962279,DPF1
0.445915473,-0.262115754,0.597850256,-0.438430446,0.66107428,0.999962279,SYT7
209.8483584,0.075398347,0.039484341,1.909575918,0.056187838,0.999962279,LARS2
991.25434,0.003197972,0.048737749,0.065615906,0.947683625,0.999962279,PIK3C2A
1646.47268,-0.106756766,0.085192256,-1.25312758,0.21015928,0.999962279,PLAUR
14.16972951,0.276961193,0.16920809,1.636808219,0.101670548,0.999962279,ANLN
775.1343523,0.051166643,0.045092132,1.13471333,0.25649545,0.999962279,WIZ
769.5017006,0.004675849,0.034744419,0.134578429,0.892945198,0.999962279,RABGAP1
1.074281314,-0.330659588,0.46311795,-0.713985687,0.47523603,0.999962279,DCN
59.11425128,0.046332463,0.067792769,0.683442548,0.494327242,0.999962279,QPCTL
594.1786554,-0.044314953,0.049700525,-0.891639531,0.372586174,0.999962279,PPP5C
511.6523012,-0.03470259,0.058891085,-0.589267293,0.555681982,0.999962279,CEP68
158.6749983,-0.127532759,0.060351431,-2.113168758,0.034586326,0.999962279,MAP4K3
37.14496571,0.184892975,0.12727589,1.45269442,0.146308617,0.999962279,ZBTB32
8763.507084,-0.098498367,0.079889348,-1.232934918,0.217600047,0.999962279,TYROBP
119.6377717,-0.032238998,0.046880783,-0.687680447,0.491654036,0.999962279,LDAF1
0,NA,NA,NA,NA,NA,GABRA3
299.4201983,0.035798436,0.081986564,0.436637833,0.66237402,0.999962279,BRCA1
755.929481,-0.059837976,0.043344815,-1.380510594,0.16742949,0.999962279,ERCC1
1079.745907,0.448728199,0.180812039,2.481738498,0.013074318,0.999962279,CD22
36.88216808,0.101530992,0.147110241,0.690169438,0.49008764,0.999962279,SEMA3B
114.5087339,-0.023871684,0.070837106,-0.336994059,0.736121379,0.999962279,MBTPS2
198.9515324,-0.018702652,0.054345952,-0.344140664,0.730740503,0.999962279,PRICKLE3
667.1133808,-0.365232152,0.288463841,-1.266128023,0.205467251,0.999962279,LTF
2212.613699,-0.011856278,0.088434981,-0.134067738,0.893349011,0.999962279,EXTL3
0,NA,NA,NA,NA,NA,NR1H4
4529.755544,0.099443422,0.077846463,1.277430186,0.201450413,0.999962279,ELOVL5
9612.586323,-0.029294764,0.097806014,-0.299519041,0.764544046,0.999962279,ALOX5
1434.701143,0.138635446,0.849206846,0.16325286,0.870319348,0.999962279,KDM5D
4586.356425,0.024907638,0.048565089,0.512871263,0.608041376,0.999962279,CALCOCO1
518.6827095,0.0429665,0.031482299,1.364782788,0.17232133,0.999962279,UBR7
547.7881687,0.016340139,0.05123501,0.318925253,0.749783195,0.999962279,MAP4K5
257.9571279,0.063147202,0.074932408,0.842722171,0.399383844,0.999962279,EHD3
703.9505672,-0.023725362,0.0322009,-0.736791913,0.461248902,0.999962279,PSMC4
2335.835691,-0.018759355,0.040973384,-0.457842459,0.647065629,0.999962279,MAN2B2
